PICKUPLAT,PICKUPLONG,DROPOFFLAT,DROPOFFLONG
53.428186,-113.527626,53.559537,-113.497126
53.559537,-113.497126,53.428186,-113.527626
53.449549,-113.414864,53.503986,-113.571414
53.544557,-113.476288,53.567777,-113.501556
53.461796,-113.42289,53.451352,-113.428794
53.451352,-113.428794,53.461796,-113.42289
53.461796,-113.42289,53.451352,-113.428794
53.52321,-113.616518,53.573325,-113.704173
53.451352,-113.428794,53.461796,-113.42289
53.536763,-113.428429,53.464098,-113.478769
53.464098,-113.478769,53.536763,-113.428429
53.482023,-113.387848,53.550072,-113.531151
53.513069,-113.473999,53.456625,-113.426861
53.456625,-113.426861,53.513069,-113.473999
53.478248,-113.384556,53.520591,-113.625025
53.520591,-113.625025,53.478248,-113.384556
53.468025,-113.5855,53.484656,-113.495449
53.484656,-113.495449,53.468025,-113.5855
53.548709,-113.535883,53.451896,-113.500116
53.538634,-113.59624,53.592028,-113.445805
53.483827,-113.640977,53.539984,-113.59521
53.592028,-113.445805,53.538634,-113.59624
53.546844,-113.595378,53.533832,-113.506782
53.518398,-113.514455,53.561197,-113.500849
53.561197,-113.500849,53.518398,-113.514455
53.521398,-113.612493,53.539534,-113.581796
53.559537,-113.497126,53.506276,-113.50992
53.600367,-113.41044,53.541199,-113.532347
53.548709,-113.535883,53.598611,-113.489758
53.605339,-113.484676,53.600367,-113.41044
53.632085,-113.355073,53.557503,-113.494283
53.520598,-113.632133,53.556687,-113.385318
53.556687,-113.385318,53.520598,-113.632133
53.605339,-113.484676,53.522057,-113.528225
53.610314,-113.457371,53.592848,-113.476249
53.60241,-113.444562,53.605339,-113.484676
53.592848,-113.476249,53.610314,-113.457371
53.605593,-113.416714,53.617423,-113.39954
53.529963,-113.617332,53.528756,-113.684333
53.573941,-113.433324,53.636376,-113.375209
53.590137,-113.522,53.571284,-113.533626
53.462512,-113.403047,53.564565,-113.552693
53.564565,-113.552693,53.462512,-113.403047
53.617423,-113.39954,53.605593,-113.416714
53.552544,-113.473956,53.519756,-113.594459
53.524729,-113.459024,53.52456,-113.527233
53.520652,-113.593592,53.552544,-113.473956
53.52456,-113.527233,53.612463,-113.51457
53.462294,-113.597735,53.518454,-113.517198
53.624006,-113.472179,53.598611,-113.489758
53.518454,-113.517198,53.462294,-113.597735
53.532512,-113.467386,53.540625,-113.500171
53.540625,-113.500171,53.532512,-113.467386
53.598611,-113.489758,53.624006,-113.472179
53.573934,-113.433228,53.526421,-113.506222
53.526421,-113.506222,53.573934,-113.433228
53.567845,-113.547893,53.559154,-113.553835
53.559154,-113.553835,53.539483,-113.502417
53.573934,-113.433228,53.526421,-113.506222
53.455124,-113.513717,53.570111,-113.483958
53.543357,-113.533631,53.507048,-113.478136
53.448803,-113.566174,53.570634,-113.416456
53.570634,-113.416456,53.448803,-113.566174
53.550608,-113.547449,53.598068,-113.568739
53.598052,-113.572671,53.550608,-113.547449
53.531243,-113.468804,53.520591,-113.625025
53.520591,-113.625025,53.531243,-113.468804
53.544987,-113.494627,53.562521,-113.510463
53.561663,-113.536418,53.52321,-113.616518
53.52321,-113.616518,53.561663,-113.536418
53.595651,-113.399829,53.519597,-113.513415
53.569703,-113.409539,53.592676,-113.539235
53.615245,-113.508329,53.537017,-113.501601
53.492853,-113.579045,53.523765,-113.613108
53.448803,-113.566174,53.559537,-113.497126
53.559537,-113.497126,53.448803,-113.566174
53.533741,-113.474776,53.478265,-113.390578
53.522,-113.59118,53.53263,-113.638273
53.53263,-113.638273,53.520652,-113.593592
53.627852,-113.432869,53.540067,-113.513031
53.573941,-113.433324,53.6016,-113.400776
53.6016,-113.400776,53.573941,-113.433324
53.503925,-113.617652,53.541742,-113.511714
53.507048,-113.478136,53.50408,-113.613752
53.450379,-113.42104,53.560759,-113.563958
53.560759,-113.563958,53.450379,-113.42104
53.500755,-113.623367,53.500141,-113.542425
53.474379,-113.497908,53.479423,-113.493095
53.553163,-113.490456,53.5706,-113.470264
53.566752,-113.470049,53.520365,-113.527807
53.520365,-113.527807,53.566752,-113.470049
53.500141,-113.542425,53.502761,-113.628642
53.502761,-113.628642,53.500755,-113.623367
53.601974,-113.457236,53.557049,-113.497518
53.557049,-113.497518,53.601974,-113.457236
53.561305,-113.472972,53.517771,-113.462567
53.517771,-113.462567,53.561305,-113.472972
53.440169,-113.429832,53.556687,-113.385318
53.57104,-113.533009,53.5192,-113.456376
53.540018,-113.496783,53.521398,-113.612493
53.520598,-113.632133,53.590751,-113.557637
53.540543,-113.60832,53.517368,-113.439201
53.521398,-113.612493,53.538689,-113.604701
53.481818,-113.406091,53.545633,-113.49023
53.520591,-113.625025,53.531243,-113.468804
53.414641,-113.540471,53.418931,-113.444282
53.520598,-113.632133,53.590751,-113.557637
53.590751,-113.557637,53.520598,-113.632133
53.590751,-113.557637,53.520598,-113.632133
53.545633,-113.49023,53.604357,-113.466266
53.604357,-113.466266,53.545633,-113.49023
53.559537,-113.497126,53.541841,-113.430489
53.451681,-113.502226,53.521398,-113.612493
53.482281,-113.49657,53.46894,-113.493152
53.46894,-113.493152,53.482281,-113.49657
53.482281,-113.49657,53.459487,-113.58224
53.459487,-113.58224,53.482281,-113.49657
53.58322,-113.393022,53.542479,-113.495572
53.578033,-113.40965,53.60241,-113.444562
53.60241,-113.444562,53.578033,-113.40965
53.564732,-113.554121,53.559154,-113.553835
53.559154,-113.553835,53.564732,-113.554121
53.542537,-113.467152,53.559537,-113.497126
53.559537,-113.497126,53.542537,-113.467152
53.478265,-113.390578,53.533741,-113.474776
53.518397,-113.447887,53.440129,-113.429096
53.521699,-113.459299,53.523675,-113.440822
53.521699,-113.459299,53.523675,-113.440822
53.459975,-113.424372,53.436584,-113.483066
53.436584,-113.483066,53.459975,-113.424372
53.533163,-113.622533,53.545066,-113.612262
53.540067,-113.513031,53.545886,-113.427483
53.481545,-113.403142,53.513376,-113.510171
53.557049,-113.497518,53.564808,-113.398966
53.544557,-113.476288,53.500986,-113.628818
53.500986,-113.628818,53.544557,-113.476288
53.575292,-113.504336,53.547042,-113.506991
53.556687,-113.385318,53.522603,-113.648084
53.626726,-113.487021,53.607221,-113.459809
53.607221,-113.459809,53.626726,-113.487021
53.626707,-113.406814,53.556687,-113.385318
53.545235,-113.478796,53.486931,-113.493525
53.507716,-113.641878,53.49388,-113.640788
53.49388,-113.640788,53.507716,-113.641878
53.55267,-113.57059,53.594542,-113.509126
53.594542,-113.509126,53.55267,-113.57059
53.542166,-113.530377,53.561197,-113.462972
53.588612,-113.507201,53.556687,-113.385318
53.556687,-113.385318,53.588612,-113.507201
53.564808,-113.398966,53.511882,-113.555776
53.542556,-113.511129,53.592558,-113.488185
53.567968,-113.403766,53.597969,-113.494963
53.570111,-113.483958,53.467855,-113.414869
53.440689,-113.53319,53.520591,-113.625025
53.520638,-113.454538,53.517643,-113.486456
53.610248,-113.410584,53.598488,-113.488254
53.517643,-113.486456,53.521699,-113.459299
53.550633,-113.627964,53.553163,-113.490456
53.546675,-113.590702,53.545353,-113.529249
53.625858,-113.517727,53.542908,-113.489705
53.506421,-113.618343,53.591352,-113.544944
53.564707,-113.456809,53.474292,-113.361136
53.564707,-113.456809,53.474292,-113.361136
53.559154,-113.553835,53.54268,-113.529083
53.486931,-113.493525,53.518757,-113.484235
53.477475,-113.502629,53.606058,-113.415504
53.606058,-113.415504,53.477475,-113.502629
53.597082,-113.493023,53.612463,-113.51457
53.466438,-113.428637,53.455729,-113.431191
53.53847,-113.506999,53.540018,-113.496783
53.540018,-113.496783,53.539483,-113.502417
53.539483,-113.502417,53.540018,-113.496783
53.54268,-113.529083,53.559154,-113.553835
53.550334,-113.580482,53.559743,-113.528154
53.559743,-113.528154,53.562042,-113.505353
53.562042,-113.505353,53.550334,-113.580482
53.564862,-113.492278,53.521398,-113.612493
53.535823,-113.471817,53.507048,-113.478136
53.507048,-113.478136,53.535823,-113.471817
53.535823,-113.471817,53.507048,-113.478136
53.507048,-113.478136,53.535823,-113.471817
53.540067,-113.513031,53.545886,-113.427483
53.540067,-113.513031,53.545886,-113.427483
53.511882,-113.555776,53.568006,-113.41151
53.502751,-113.572646,53.568006,-113.41151
53.6016,-113.400776,53.568006,-113.41151
53.526948,-113.545273,53.568006,-113.41151
53.541841,-113.430489,53.5192,-113.456376
53.507716,-113.641878,53.519926,-113.589165
53.541134,-113.605163,53.540067,-113.513031
53.593612,-113.534815,53.601701,-113.551919
53.557512,-113.520663,53.519358,-113.49442
53.519358,-113.49442,53.557512,-113.520663
53.5192,-113.456376,53.541841,-113.430489
53.556536,-113.585223,53.520652,-113.593592
53.520652,-113.593592,53.556536,-113.585223
53.49453,-113.520981,53.525711,-113.644601
53.533696,-113.636545,53.535145,-113.477384
53.538494,-113.504224,53.482044,-113.497936
53.564955,-113.436624,53.450271,-113.48336
53.516878,-113.526321,53.628438,-113.456696
53.61046,-113.418279,53.627823,-113.417982
53.544429,-113.509028,53.54026,-113.516257
53.482044,-113.497936,53.538494,-113.504224
53.538494,-113.504224,53.482044,-113.497936
53.482044,-113.497936,53.538494,-113.504224
53.583174,-113.640973,53.51734,-113.446906
53.518398,-113.514455,53.561197,-113.500849
53.561197,-113.500849,53.518398,-113.514455
53.512999,-113.434865,53.605339,-113.484676
53.503881,-113.453785,53.633596,-113.498589
53.633596,-113.498589,53.523758,-113.456894
53.605339,-113.484676,53.512999,-113.434865
53.580979,-113.475051,53.559743,-113.528154
53.429597,-113.451945,53.467901,-113.449461
53.463554,-113.413951,53.627094,-113.48265
53.599439,-113.379681,53.594764,-113.491316
53.538563,-113.503443,53.515792,-113.47625
53.524069,-113.580953,53.552952,-113.618777
53.552952,-113.618777,53.524069,-113.580953
53.520365,-113.527807,53.514838,-113.43842
53.612126,-113.533267,53.551618,-113.509895
53.551618,-113.509895,53.612126,-113.533267
53.544049,-113.562227,53.571981,-113.455914
53.571981,-113.455914,53.544049,-113.562227
53.542393,-113.605317,53.612463,-113.51457
53.612463,-113.51457,53.542393,-113.605317
53.514838,-113.43842,53.520365,-113.527807
53.561663,-113.536418,53.554254,-113.621927
53.554254,-113.621927,53.561663,-113.536418
53.561663,-113.536418,53.554254,-113.621927
53.554254,-113.621927,53.561663,-113.536418
53.535145,-113.477384,53.533696,-113.636545
53.541323,-113.524029,53.598611,-113.489758
53.598611,-113.489758,53.541323,-113.524029
53.442358,-113.534708,53.458174,-113.429125
53.535145,-113.477384,53.533696,-113.636545
53.533696,-113.636545,53.535145,-113.477384
53.53373,-113.636603,53.535145,-113.477384
53.514926,-113.505238,53.516816,-113.497088
53.601195,-113.456007,53.558341,-113.503373
53.521699,-113.459299,53.541742,-113.511714
53.541742,-113.511714,53.540713,-113.491329
53.542506,-113.493732,53.541742,-113.511714
53.541742,-113.511714,53.521699,-113.459299
53.558341,-113.503373,53.601195,-113.456007
53.6016,-113.400776,53.598611,-113.489758
53.54026,-113.516257,53.544429,-113.509028
53.440715,-113.460393,53.546647,-113.489628
53.546647,-113.489628,53.440715,-113.460393
53.420887,-113.445993,53.443712,-113.408352
53.443712,-113.408352,53.420887,-113.445993
53.559537,-113.497126,53.613012,-113.480185
53.591161,-113.542726,53.526948,-113.545273
53.455729,-113.431191,53.466438,-113.428637
53.613012,-113.480185,53.559537,-113.497126
53.559537,-113.497126,53.613012,-113.480185
53.426664,-113.457401,53.542479,-113.495572
53.50948,-113.649565,53.605339,-113.484676
53.605339,-113.484676,53.50948,-113.649565
53.519407,-113.464641,53.545384,-113.425388
53.553695,-113.48876,53.580205,-113.457339
53.55409,-113.560589,53.559704,-113.548211
53.563975,-113.553631,53.55409,-113.560589
53.580205,-113.457339,53.553695,-113.48876
53.594542,-113.509126,53.57125,-113.442624
53.564808,-113.398966,53.590847,-113.420361
53.504518,-113.503104,53.462174,-113.429644
53.541228,-113.527079,53.599255,-113.533282
53.544375,-113.582683,53.560759,-113.563958
53.560759,-113.563958,53.544375,-113.582683
53.609829,-113.562313,53.510583,-113.512886
53.599255,-113.533282,53.541228,-113.527079
53.421075,-113.537304,53.437781,-113.604108
53.437781,-113.604108,53.421075,-113.537304
53.450415,-113.417233,53.477226,-113.480477
53.535145,-113.477384,53.53373,-113.636603
53.533696,-113.636545,53.534755,-113.62489
53.607371,-113.396928,53.612463,-113.51457
53.54928,-113.481547,53.485223,-113.514759
53.485223,-113.514759,53.54928,-113.481547
53.53373,-113.636603,53.534755,-113.62489
53.534755,-113.62489,53.53373,-113.636603
53.620112,-113.49001,53.595845,-113.538884
53.490824,-113.649266,53.520591,-113.625025
53.520591,-113.625025,53.490824,-113.649266
53.461141,-113.506451,53.568006,-113.41151
53.508468,-113.632494,53.549243,-113.620039
53.549243,-113.620039,53.508468,-113.632494
53.501727,-113.616787,53.42452,-113.514387
53.42452,-113.514387,53.501727,-113.616787
53.464742,-113.440345,53.564707,-113.456809
53.564707,-113.456809,53.464742,-113.440345
53.477475,-113.502629,53.45242,-113.513898
53.45242,-113.513898,53.477475,-113.502629
53.421208,-113.443382,53.559537,-113.497126
53.557049,-113.497518,53.544557,-113.476288
53.545578,-113.466963,53.443418,-113.576017
53.51643,-113.641697,53.541311,-113.640019
53.491126,-113.617148,53.512607,-113.47736
53.512607,-113.47736,53.491126,-113.617148
53.491126,-113.617148,53.519663,-113.428676
53.519663,-113.428676,53.491126,-113.617148
53.52263,-113.592336,53.470481,-113.591679
53.470481,-113.591679,53.52263,-113.592336
53.520174,-113.605841,53.532734,-113.625616
53.532734,-113.625616,53.520174,-113.605841
53.545633,-113.49023,53.581931,-113.560132
53.613012,-113.480185,53.559537,-113.497126
53.448364,-113.500247,53.463207,-113.501955
53.516298,-113.589335,53.603749,-113.549501
53.52321,-113.616518,53.533163,-113.622533
53.598611,-113.489758,53.615105,-113.46195
53.483937,-113.384005,53.556687,-113.385318
53.556687,-113.385318,53.483937,-113.384005
53.567968,-113.403766,53.597969,-113.494963
53.597969,-113.494963,53.567968,-113.403766
53.559675,-113.542794,53.54121,-113.494115
53.596515,-113.40906,53.520365,-113.527807
53.608712,-113.539405,53.556687,-113.385318
53.520365,-113.527807,53.596515,-113.40906
53.556687,-113.385318,53.608712,-113.539405
53.484071,-113.505626,53.541156,-113.520033
53.541156,-113.520033,53.484071,-113.505626
53.484071,-113.505626,53.520365,-113.527807
53.520365,-113.527807,53.484071,-113.505626
53.520591,-113.625025,53.544375,-113.582683
53.468584,-113.395206,53.57586,-113.477577
53.600367,-113.41044,53.605339,-113.484676
53.605339,-113.484676,53.600367,-113.41044
53.605339,-113.484676,53.512999,-113.434865
53.512999,-113.434865,53.605339,-113.484676
53.490824,-113.649266,53.523371,-113.522269
53.544375,-113.582683,53.520591,-113.625025
53.544375,-113.582683,53.520591,-113.625025
53.520591,-113.625025,53.544375,-113.582683
53.517896,-113.51828,53.518328,-113.523834
53.517896,-113.51828,53.518328,-113.523834
53.504595,-113.619507,53.501107,-113.641494
53.591161,-113.542726,53.504595,-113.619507
53.504595,-113.619507,53.535201,-113.635309
53.591161,-113.542726,53.504595,-113.619507
53.598611,-113.489758,53.533163,-113.622533
53.533163,-113.622533,53.598611,-113.489758
53.565418,-113.59273,53.559587,-113.560166
53.559587,-113.560166,53.559154,-113.553835
53.498714,-113.542727,53.520365,-113.527807
53.520365,-113.527807,53.498714,-113.542727
53.591161,-113.542726,53.526948,-113.545273
53.605339,-113.484676,53.532209,-113.419578
53.463352,-113.499693,53.525065,-113.527619
53.525065,-113.527619,53.45097,-113.515255
53.45097,-113.515255,53.463352,-113.499693
