"trips.passengerslogid","trips.passengerid","trips.driverid","trips.pickuplatitide","trips.pickuplongitude","trips.droplatitude","trips.droplongitude","trips.actualpickuptime","trips.pickupdate","trips.pickuphour","trips.droptime","trips.dropdate","trips.drophour"
"2390","590","307","6.9088900000","79.8692470000","","","2015-06-17 08:30:02","2015-06-17","8","2015-06-17 08:46:44","2015-06-17","8"
"2391","592","309","6.8680503243","79.8698869720","","","2015-06-17 08:46:44","2015-06-17","8","2015-06-17 08:49:06","2015-06-17","8"
"2396","590","307","6.8924590000","79.8558090000","","","2015-06-17 08:50:29","2015-06-17","8","2015-06-17 08:50:56","2015-06-17","8"
"2400","684","293","6.9104450000","79.8668690000","","","2015-06-17 09:56:13","2015-06-17","9","2015-06-17 10:07:49","2015-06-17","10"
"2408","592","216","6.8884032396","79.8569379374","6.8925191000","79.8756179000","2015-06-17 10:21:06","2015-06-17","10","2015-06-17 10:30:58","2015-06-17","10"
"2412","666","283","6.8929690031","79.8700911552","","","2015-06-17 11:00:41","2015-06-17","11","2015-06-17 11:11:20","2015-06-17","11"
"2416","889","196","7.0892864563","79.8979006335","7.1019351000","79.9098687000","2015-06-17 11:19:47","2015-06-17","11","2015-06-17 11:20:57","2015-06-17","11"
"2419","592","283","6.8928411876","79.8761080205","","","2015-06-17 12:10:54","2015-06-17","12","2015-06-17 12:21:43","2015-06-17","12"
"2420","894","162","6.8838667237","79.8691560701","6.8879800000","79.8663837000","2015-06-17 12:05:18","2015-06-17","12","2015-06-17 12:53:39","2015-06-17","12"
"2421","727","326","6.8882211673","79.8557671532","","","2015-06-17 12:08:23","2015-06-17","12","2015-06-17 13:14:11","2015-06-17","13"
"2474","35","329","6.8882800829","79.8559230566","","","2015-06-17 14:18:44","2015-06-17","14","2015-06-17 14:27:23","2015-06-17","14"
