"trips.passengerslogid","trips.passengerid","trips.driverid","trips.pickuplatitide","trips.pickuplongitude","trips.droplatitude","trips.droplongitude","trips.actualpickuptime","trips.pickupdate","trips.pickuphour","trips.droptime","trips.dropdate","trips.drophour"
"3103","1091","407","6.9115711137","79.8699999601","","","2015-06-23 14:00:36","2015-06-23","14","2015-06-23 14:16:19","2015-06-23","14"
"3107","1157","217","6.9052930000","79.8549480000","","","2015-06-23 14:25:01","2015-06-23","14","2015-06-23 16:47:53","2015-06-23","16"
"3113","1091","400","6.8969888491","79.8776519671","","","2015-06-23 14:34:59","2015-06-23","14","2015-06-23 14:44:22","2015-06-23","14"
"3116","1091","318","6.8778013253","79.8778994009","","","2015-06-23 14:57:45","2015-06-23","14","2015-06-23 15:02:51","2015-06-23","15"
"3118","610","415","6.8881812246","79.8558010161","","","2015-06-23 15:14:00","2015-06-23","15","2015-06-23 15:44:42","2015-06-23","15"
"3123","1091","397","6.8718846412","79.8899039626","","","2015-06-23 15:24:57","2015-06-23","15","2015-06-23 15:33:00","2015-06-23","15"
"3130","1091","301","6.8555442249","79.8882899433","","","2015-06-23 15:46:26","2015-06-23","15","2015-06-23 15:53:58","2015-06-23","15"
"3135","1091","216","6.8664435569","79.8705897108","","","2015-06-23 16:07:34","2015-06-23","16","2015-06-23 16:17:41","2015-06-23","16"
"3139","1091","421","6.8770926585","79.8604439199","6.9150172000","79.8525957000","2015-06-23 16:35:58","2015-06-23","16","2015-06-23 16:53:26","2015-06-23","16"
"3140","1320","403","6.9198700658","79.8558077216","","","2015-06-23 17:10:48","2015-06-23","17","2015-06-23 17:11:27","2015-06-23","17"
"3141","1049","363","6.9221120293","79.8575880378","","","2015-06-23 16:49:30","2015-06-23","16","2015-06-23 17:29:13","2015-06-23","17"
"3142","785","405","6.9117911207","79.8500748351","","","2015-06-23 16:52:35","2015-06-23","16","2015-06-23 17:03:45","2015-06-23","17"
"3148","361","353","6.8808932835","79.8593378440","","","2015-06-23 17:13:03","2015-06-23","17","2015-06-23 17:49:00","2015-06-23","17"
"3152","729","423","6.8881565933","79.8559837416","6.8880965000","79.8557342000","2015-06-23 17:22:41","2015-06-23","17","2015-06-23 17:43:43","2015-06-23","17"
"3157","1433","403","6.8883590000","79.8566140000","","","2015-06-23 19:15:16","2015-06-23","19","2015-06-23 19:58:21","2015-06-23","19"
"3158","1037","328","6.8754336619","79.8809641600","","","2015-06-23 18:36:41","2015-06-23","18","2015-06-23 18:36:48","2015-06-23","18"
"3160","1439","339","6.8928790000","79.8678700000","","","2015-06-23 17:37:27","2015-06-23","17","2015-06-23 17:40:08","2015-06-23","17"
"3161","1013","356","6.8995264903","79.8556249961","","","2015-06-23 17:46:23","2015-06-23","17","2015-06-23 18:27:06","2015-06-23","18"
"3162","1439","339","6.8930300000","79.8674590000","","","2015-06-23 17:42:30","2015-06-23","17","2015-06-23 17:51:04","2015-06-23","17"
"3169","1516","226","6.8861414778","79.8561108112","","","2015-06-23 18:19:26","2015-06-23","18","2015-06-23 18:20:27","2015-06-23","18"
"3170","592","431","6.8880983434","79.8558030277","","","2015-06-23 18:33:23","2015-06-23","18","2015-06-23 18:38:28","2015-06-23","18"
"3171","684","400","6.9328410000","79.8432290000","","","2015-06-23 18:50:48","2015-06-23","18","2015-06-23 18:53:16","2015-06-23","18"
"3172","1052","415","6.9114266613","79.8554389179","","","2015-06-23 19:02:32","2015-06-23","19","2015-06-23 19:43:22","2015-06-23","19"
"3174","1542","367","6.8965691251","79.8548907414","","","2015-06-23 18:59:20","2015-06-23","18","2015-06-23 19:21:50","2015-06-23","19"
"3175","917","319","6.9189747419","79.8504429683","","","2015-06-23 18:50:57","2015-06-23","18","2015-06-23 19:22:57","2015-06-23","19"
"3178","590","217","6.8881600000","79.8557880000","","","2015-06-23 19:12:52","2015-06-23","19","2015-06-23 19:38:54","2015-06-23","19"
"3183","1449","348","6.8868697696","79.8584158346","","","2015-06-23 19:37:26","2015-06-23","19","2015-06-23 20:04:04","2015-06-23","20"
